id:ID,name:STRING,:LABEL
1,AnimalShelter,Entity
2,Adopter,Entity
3,Foster,Entity
4,Volunteer,Entity
5,AnimalControlOfficer,Entity
6,Veterinarian,Entity
7,TransportNetwork,Entity
8,PetFoodSupplier,Entity
9,RescuePlatform,Entity
10,LocalGovernment,Entity
11,StateAgency,Entity
12,GrantFoundation,Entity
13,EducationalInstitution,Entity
14,PetIndustryCorporation,Entity
15,TechPlatform,Entity
16,InsuranceProvider,Entity
17,CommunityGroup,Entity
18,MediaOutlet,Entity
19,SocialMediaInfluencer,Entity
20,EducationalCurriculum,Entity
21,PhilosophicalOrganization,Entity
