start_id,end_id,type
rescue_shelter,adopters,PROVIDES_ANIMALS_TO
rescue_shelter,volunteers,RELIES_ON
rescue_shelter,foster_network,PARTNERS_WITH
rescue_shelter,veterinarians,CONTRACTS_WITH
rescue_shelter,animal_control,RECEIVES_ANIMALS_FROM
rescue_shelter,fundraising_platforms,USES_FOR_DONATIONS
rescue_shelter,social_media,PROMOTES_ON
spca,rescue_shelter,SUPPORTS
humane_society,rescue_shelter,COLLABORATES_WITH
foster_network,adopters,FACILITATES_ADOPTIONS_TO
volunteers,social_media,SHARES_CONTENT_ON
veterinarians,vet_clinics,WORKS_AT
veterinarians,pharmaceutical_companies,PURCHASES_FROM
animal_control,local_government,OPERATED_BY
pet_stores,breeders,SOURCES_ANIMALS_FROM
pet_stores,adopters,COMPETES_WITH_SHELTERS_FOR
adopters,pet_supply_companies,PURCHASES_FROM
adopters,pet_insurance,BUYS_COVERAGE_FROM
transport_orgs,rescue_shelter,TRANSFERS_ANIMALS_TO
vet_clinics,microchip_companies,USES_PRODUCTS_FROM
pet_supply_companies,pet_food_manufacturers,SOURCES_FROM
local_government,animal_welfare_laws,ENFORCES
state_government,animal_welfare_laws,CREATES
state_government,rescue_shelter,LICENSES
federal_agencies,animal_welfare_laws,OVERSEES
university_programs,veterinarians,TRAINS
media_outlets,public_opinion,INFLUENCES
media_outlets,rescue_shelter,COVERS_STORIES_OF
celebrity_advocates,public_opinion,INFLUENCES
celebrity_advocates,rescue_shelter,PROMOTES
corporate_sponsors,rescue_shelter,FUNDS
grant_foundations,rescue_shelter,PROVIDES_GRANTS_TO
rescue_software,rescue_shelter,MANAGES_OPERATIONS_FOR
economic_conditions,adopters,AFFECTS_ADOPTION_RATES_OF
economic_conditions,rescue_shelter,IMPACTS_FUNDING_OF
real_estate_market,rescue_shelter,AFFECTS_FACILITY_COSTS_OF
public_opinion,animal_welfare_laws,INFLUENCES
cultural_trends,adopters,SHAPES_PREFERENCES_OF
disaster_response,rescue_shelter,COORDINATES_WITH
international_orgs,humane_society,COLLABORATES_WITH
research_institutions,university_programs,PARTNERS_WITH
policy_think_tanks,animal_welfare_laws,INFLUENCES
demographic_shifts,adopters,CHANGES_COMPOSITION_OF
climate_change,disaster_response,INCREASES_NEED_FOR
fundraising_platforms,corporate_sponsors,CONNECTS_DONORS_TO
social_media,celebrity_advocates,AMPLIFIES_MESSAGE_OF
microchip_companies,animal_control,SUPPLIES_TO
pet_insurance,veterinarians,REIMBURSES
pharmaceutical_companies,vet_clinics,DISTRIBUTES_TO
breeders,animal_welfare_laws,REGULATED_BY
foster_network,volunteers,RECRUITS_FROM
